oncul,sonuc,support,confidence,lift,birlikte_gorulme
BASINÇLI HAVA DONANIMI ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.4046,0.7822,1.124,1487
SÜSPANSİYON SİSTEMİ ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4046,0.5815,1.124,1487
YAKIT ve ENJEKSİYON ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.419,0.6592,1.121,1540
KAMERA SİSTEMİ ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.419,0.7126,1.121,1540
BASINÇLI HAVA DONANIMI ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.2759,0.5334,1.118,1014
KAYIŞ KASNAK ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.2759,0.5781,1.118,1014
KAYIŞ KASNAK ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.3709,0.7771,1.117,1363
SÜSPANSİYON SİSTEMİ ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.3709,0.533,1.117,1363
FREN ŞİKAYETLERİ,BASINÇLI HAVA HATTI ARIZASI,0.3015,0.3548,1.114,1108
BASINÇLI HAVA HATTI ARIZASI,FREN ŞİKAYETLERİ,0.3015,0.947,1.114,1108
ISITMA SİSTEMİ,BASINÇLI YAĞ HATTI ARIZASI,0.2438,0.3295,1.114,896
BASINÇLI YAĞ HATTI ARIZASI,ISITMA SİSTEMİ,0.2438,0.8243,1.114,896
AKBİL ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.4912,0.6545,1.113,1805
KAMERA SİSTEMİ ARIZALARI,AKBİL ARIZALARI,0.4912,0.8353,1.113,1805
SÜSPANSİYON SİSTEMİ ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.5728,0.8232,1.108,2105
OTOMATİK ŞANZIMAN ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.5728,0.7711,1.108,2105
Destek,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6044,0.7698,1.106,2221
SÜSPANSİYON SİSTEMİ ARIZALARI,Destek,0.6044,0.8686,1.106,2221
KLİMA SİSTEMİ ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.3045,0.3518,1.105,1119
BASINÇLI HAVA HATTI ARIZASI,KLİMA SİSTEMİ ARIZALARI,0.3045,0.9564,1.105,1119
ISITMA SİSTEMİ,BASINÇLI MOTOR YAĞI SİSTEMİ,0.2893,0.391,1.104,1063
BASINÇLI MOTOR YAĞI SİSTEMİ,ISITMA SİSTEMİ,0.2893,0.8171,1.104,1063
BASINÇLI MOTOR YAĞI SİSTEMİ,BASINÇLI HAVA DONANIMI ARIZALARI,0.2022,0.5711,1.104,743
BASINÇLI HAVA DONANIMI ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.2022,0.3908,1.104,743
BASINÇLI HAVA DONANIMI ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.3358,0.6491,1.104,1234
KAMERA SİSTEMİ ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.3358,0.571,1.104,1234
SOĞUTMA SİSTEMİ ARIZASI,BASINÇLI YAĞ HATTI ARIZASI,0.2931,0.3248,1.098,1077
BASINÇLI YAĞ HATTI ARIZASI,SOĞUTMA SİSTEMİ ARIZASI,0.2931,0.9908,1.098,1077
KAPI ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.3088,0.3487,1.095,1135
BASINÇLI HAVA HATTI ARIZASI,KAPI ARIZALARI,0.3088,0.9701,1.095,1135
BASINÇLI HAVA HATTI ARIZASI,LASTİK ARIZALARI,0.1478,0.4641,1.091,543
LASTİK ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.1478,0.3472,1.091,543
KAYIŞ KASNAK ARIZALARI,ISITMA SİSTEMİ,0.3853,0.8073,1.091,1416
ISITMA SİSTEMİ,KAYIŞ KASNAK ARIZALARI,0.3853,0.5208,1.091,1416
KAYIŞ KASNAK ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.4506,0.9441,1.091,1656
KLİMA SİSTEMİ ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.4506,0.5206,1.091,1656
YAKIT ve ENJEKSİYON ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.2201,0.3463,1.088,809
BASINÇLI HAVA HATTI ARIZASI,YAKIT ve ENJEKSİYON ARIZALARI,0.2201,0.6915,1.088,809
BASINÇLI HAVA HATTI ARIZASI,SOĞUTMA SİSTEMİ ARIZASI,0.3127,0.9821,1.088,1149
SOĞUTMA SİSTEMİ ARIZASI,BASINÇLI HAVA HATTI ARIZASI,0.3127,0.3465,1.088,1149
