oncul,sonuc,support,confidence,lift,birlikte_gorulme
BASINÇLI YAĞ HATTI ARIZASI,KAROSER ARIZALARI,0.2857,0.966,1.039,1050
KAROSER ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2857,0.3073,1.039,1050
OTOMATİK ŞANZIMAN ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.7298,0.9824,1.039,2682
ELEKTRİK SİSTEMİ ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.7298,0.7716,1.039,2682
BASINÇLI MOTOR YAĞI SİSTEMİ,ELEKTRİK SİSTEMİ ARIZALARI,0.3478,0.9823,1.039,1278
ELEKTRİK SİSTEMİ ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3478,0.3677,1.039,1278
KAPI ARIZALARI,ISITMA SİSTEMİ,0.6808,0.7687,1.039,2502
ISITMA SİSTEMİ,KAPI ARIZALARI,0.6808,0.9202,1.039,2502
SÜSPANSİYON SİSTEMİ ARIZALARI,KAROSER ARIZALARI,0.671,0.9644,1.037,2466
KAROSER ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.671,0.7217,1.037,2466
KAROSER ARIZALARI,Destek,0.7565,0.8136,1.036,2780
Destek,KAROSER ARIZALARI,0.7565,0.9636,1.036,2780
KAROSER ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.4599,0.4946,1.036,1690
KAYIŞ KASNAK ARIZALARI,KAROSER ARIZALARI,0.4599,0.9635,1.036,1690
BASINÇLI MOTOR YAĞI SİSTEMİ,AKBİL ARIZALARI,0.2754,0.7779,1.036,1012
AKBİL ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.2754,0.3669,1.036,1012
KAMERA SİSTEMİ ARIZALARI,ISITMA SİSTEMİ,0.4503,0.7658,1.035,1655
ISITMA SİSTEMİ,KAMERA SİSTEMİ ARIZALARI,0.4503,0.6087,1.035,1655
ELEKTRİK SİSTEMİ ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6814,0.7204,1.035,2504
SÜSPANSİYON SİSTEMİ ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.6814,0.9793,1.035,2504
SOĞUTMA SİSTEMİ ARIZASI,FREN ŞİKAYETLERİ,0.7937,0.8797,1.035,2917
FREN ŞİKAYETLERİ,SOĞUTMA SİSTEMİ ARIZASI,0.7937,0.934,1.035,2917
OTOMATİK ŞANZIMAN ARIZALARI,KAROSER ARIZALARI,0.7148,0.9623,1.035,2627
KAROSER ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.7148,0.7688,1.035,2627
KAPI ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.5385,0.608,1.034,1979
KAMERA SİSTEMİ ARIZALARI,KAPI ARIZALARI,0.5385,0.9158,1.034,1979
KAROSER ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.5646,0.6073,1.033,2075
KAMERA SİSTEMİ ARIZALARI,KAROSER ARIZALARI,0.5646,0.9602,1.033,2075
MOTOR ARIZALARI,FREN ŞİKAYETLERİ,0.7853,0.8777,1.033,2886
FREN ŞİKAYETLERİ,MOTOR ARIZALARI,0.7853,0.9241,1.033,2886
ELEKTRİK SİSTEMİ ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.846,0.8944,1.033,3109
KLİMA SİSTEMİ ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.846,0.9774,1.033,3109
Destek,ELEKTRİK SİSTEMİ ARIZALARI,0.766,0.9757,1.032,2815
ELEKTRİK SİSTEMİ ARIZALARI,Destek,0.766,0.8098,1.032,2815
AKBİL ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.5388,0.7179,1.032,1980
SÜSPANSİYON SİSTEMİ ARIZALARI,AKBİL ARIZALARI,0.5388,0.7743,1.032,1980
KAMERA SİSTEMİ ARIZALARI,MOTOR ARIZALARI,0.5423,0.9223,1.031,1993
MOTOR ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.5423,0.6061,1.031,1993
KAROSER ARIZALARI,MOTOR ARIZALARI,0.8577,0.9224,1.031,3152
MOTOR ARIZALARI,KAROSER ARIZALARI,0.8577,0.9586,1.031,3152
KLİMA SİSTEMİ ARIZALARI,KAROSER ARIZALARI,0.8297,0.9585,1.031,3049
KAROSER ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.8297,0.8923,1.031,3049
KAMERA SİSTEMİ ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.5472,0.9306,1.031,2011
SOĞUTMA SİSTEMİ ARIZASI,KAMERA SİSTEMİ ARIZALARI,0.5472,0.6065,1.031,2011
LASTİK ARIZALARI,ISITMA SİSTEMİ,0.3246,0.7628,1.031,1193
ISITMA SİSTEMİ,LASTİK ARIZALARI,0.3246,0.4388,1.031,1193
AKBİL ARIZALARI,MOTOR ARIZALARI,0.6922,0.9224,1.031,2544
MOTOR ARIZALARI,AKBİL ARIZALARI,0.6922,0.7737,1.031,2544
MOTOR ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.8727,0.9754,1.031,3207
ELEKTRİK SİSTEMİ ARIZALARI,MOTOR ARIZALARI,0.8727,0.9226,1.031,3207
YAKIT ve ENJEKSİYON ARIZALARI,KAROSER ARIZALARI,0.609,0.958,1.03,2238
KAROSER ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.609,0.655,1.03,2238
KAROSER ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4952,0.5326,1.03,1820
BASINÇLI HAVA DONANIMI ARIZALARI,KAROSER ARIZALARI,0.4952,0.9574,1.03,1820
ISITMA SİSTEMİ,KAROSER ARIZALARI,0.7083,0.9573,1.03,2603
KAROSER ARIZALARI,ISITMA SİSTEMİ,0.7083,0.7618,1.03,2603
ELEKTRİK SİSTEMİ ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.8778,0.9281,1.029,3226
SOĞUTMA SİSTEMİ ARIZASI,ELEKTRİK SİSTEMİ ARIZALARI,0.8778,0.9729,1.029,3226
KAROSER ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.8623,0.9274,1.028,3169
SOĞUTMA SİSTEMİ ARIZASI,KAROSER ARIZALARI,0.8623,0.9557,1.028,3169
ELEKTRİK SİSTEMİ ARIZALARI,ISITMA SİSTEMİ,0.7184,0.7595,1.027,2640
ISITMA SİSTEMİ,ELEKTRİK SİSTEMİ ARIZALARI,0.7184,0.9709,1.027,2640
SÜSPANSİYON SİSTEMİ ARIZALARI,LASTİK ARIZALARI,0.3039,0.4368,1.026,1117
LASTİK ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.3039,0.7142,1.026,1117
AKBİL ARIZALARI,ISITMA SİSTEMİ,0.5698,0.7592,1.026,2094
ISITMA SİSTEMİ,AKBİL ARIZALARI,0.5698,0.7701,1.026,2094
BASINÇLI HAVA DONANIMI ARIZALARI,AKBİL ARIZALARI,0.3978,0.7691,1.025,1462
AKBİL ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.3978,0.5301,1.025,1462
FREN ŞİKAYETLERİ,KAPI ARIZALARI,0.7703,0.9065,1.023,2831
KAPI ARIZALARI,FREN ŞİKAYETLERİ,0.7703,0.8697,1.023,2831
KAMERA SİSTEMİ ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.5687,0.9671,1.023,2090
ELEKTRİK SİSTEMİ ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.5687,0.6013,1.023,2090
ELEKTRİK SİSTEMİ ARIZALARI,KAPI ARIZALARI,0.8558,0.9048,1.022,3145
KAPI ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.8558,0.9662,1.022,3145
KAROSER ARIZALARI,KAPI ARIZALARI,0.8414,0.9049,1.022,3092
KAPI ARIZALARI,KAROSER ARIZALARI,0.8414,0.9499,1.022,3092
Destek,LASTİK ARIZALARI,0.3412,0.4347,1.021,1254
LASTİK ARIZALARI,Destek,0.3412,0.8018,1.021,1254
FREN ŞİKAYETLERİ,KAMERA SİSTEMİ ARIZALARI,0.5102,0.6004,1.021,1875
KAMERA SİSTEMİ ARIZALARI,FREN ŞİKAYETLERİ,0.5102,0.8677,1.021,1875
AKBİL ARIZALARI,Destek,0.6008,0.8006,1.02,2208
Destek,AKBİL ARIZALARI,0.6008,0.7653,1.02,2208
AKBİL ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.6898,0.9191,1.019,2535
SOĞUTMA SİSTEMİ ARIZASI,AKBİL ARIZALARI,0.6898,0.7645,1.019,2535
BASINÇLI MOTOR YAĞI SİSTEMİ,LASTİK ARIZALARI,0.1535,0.4335,1.019,564
LASTİK ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.1535,0.3606,1.019,564
FREN ŞİKAYETLERİ,ELEKTRİK SİSTEMİ ARIZALARI,0.8182,0.9629,1.018,3007
ELEKTRİK SİSTEMİ ARIZALARI,FREN ŞİKAYETLERİ,0.8182,0.8651,1.018,3007
AKBİL ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.6615,0.8814,1.018,2431
KLİMA SİSTEMİ ARIZALARI,AKBİL ARIZALARI,0.6615,0.7642,1.018,2431
KAROSER ARIZALARI,AKBİL ARIZALARI,0.7102,0.7638,1.018,2610
AKBİL ARIZALARI,KAROSER ARIZALARI,0.7102,0.9463,1.018,2610
KAROSER ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.8944,0.962,1.017,3287
ELEKTRİK SİSTEMİ ARIZALARI,KAROSER ARIZALARI,0.8944,0.9456,1.017,3287
FREN ŞİKAYETLERİ,KAROSER ARIZALARI,0.8022,0.944,1.015,2948
KAROSER ARIZALARI,FREN ŞİKAYETLERİ,0.8022,0.8627,1.015,2948
KAPI ARIZALARI,AKBİL ARIZALARI,0.6748,0.7619,1.015,2480
AKBİL ARIZALARI,KAPI ARIZALARI,0.6748,0.8992,1.015,2480
LASTİK ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.1276,0.2999,1.014,469
BASINÇLI YAĞ HATTI ARIZASI,LASTİK ARIZALARI,0.1276,0.4315,1.014,469
LASTİK ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.2223,0.5224,1.01,817
BASINÇLI HAVA DONANIMI ARIZALARI,LASTİK ARIZALARI,0.2223,0.4298,1.01,817
BASINÇLI HAVA HATTI ARIZASI,KAMERA SİSTEMİ ARIZALARI,0.1891,0.594,1.01,695
KAMERA SİSTEMİ ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.1891,0.3216,1.01,695
AKBİL ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.7173,0.9558,1.01,2636
ELEKTRİK SİSTEMİ ARIZALARI,AKBİL ARIZALARI,0.7173,0.7583,1.01,2636
FREN ŞİKAYETLERİ,LASTİK ARIZALARI,0.3641,0.4284,1.007,1338
LASTİK ARIZALARI,FREN ŞİKAYETLERİ,0.3641,0.8555,1.007,1338
AKBİL ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.5595,0.7455,1.004,2056
OTOMATİK ŞANZIMAN ARIZALARI,AKBİL ARIZALARI,0.5595,0.7531,1.004,2056
AKBİL ARIZALARI,FREN ŞİKAYETLERİ,0.6405,0.8535,1.004,2354
FREN ŞİKAYETLERİ,AKBİL ARIZALARI,0.6405,0.7538,1.004,2354
LASTİK ARIZALARI,MOTOR ARIZALARI,0.382,0.8977,1.003,1404
MOTOR ARIZALARI,LASTİK ARIZALARI,0.382,0.427,1.003,1404
LASTİK ARIZALARI,KAPI ARIZALARI,0.3766,0.8849,0.999,1384
KAPI ARIZALARI,LASTİK ARIZALARI,0.3766,0.4252,0.999,1384
OTOMATİK ŞANZIMAN ARIZALARI,LASTİK ARIZALARI,0.3156,0.4249,0.998,1160
LASTİK ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.3156,0.7417,0.998,1160
KAROSER ARIZALARI,LASTİK ARIZALARI,0.3948,0.4246,0.998,1451
LASTİK ARIZALARI,KAROSER ARIZALARI,0.3948,0.9277,0.998,1451
AKBİL ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.3565,0.475,0.995,1310
KAYIŞ KASNAK ARIZALARI,AKBİL ARIZALARI,0.3565,0.7469,0.995,1310
SOĞUTMA SİSTEMİ ARIZASI,LASTİK ARIZALARI,0.3815,0.4228,0.993,1402
LASTİK ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.3815,0.8964,0.993,1402
KAMERA SİSTEMİ ARIZALARI,Destek,0.4571,0.7774,0.99,1680
Destek,KAMERA SİSTEMİ ARIZALARI,0.4571,0.5823,0.99,1680
ELEKTRİK SİSTEMİ ARIZALARI,LASTİK ARIZALARI,0.3954,0.418,0.982,1453
LASTİK ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.3954,0.929,0.982,1453
BASINÇLI HAVA HATTI ARIZASI,AKBİL ARIZALARI,0.2343,0.7359,0.981,861
AKBİL ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.2343,0.3122,0.981,861
YAKIT ve ENJEKSİYON ARIZALARI,LASTİK ARIZALARI,0.265,0.417,0.98,974
LASTİK ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.265,0.6228,0.98,974
KLİMA SİSTEMİ ARIZALARI,LASTİK ARIZALARI,0.3605,0.4165,0.979,1325
LASTİK ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.3605,0.8472,0.979,1325
LASTİK ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.1978,0.4648,0.974,727
KAYIŞ KASNAK ARIZALARI,LASTİK ARIZALARI,0.1978,0.4145,0.974,727
LASTİK ARIZALARI,AKBİL ARIZALARI,0.311,0.7308,0.974,1143
AKBİL ARIZALARI,LASTİK ARIZALARI,0.311,0.4144,0.974,1143
BASINÇLI YAĞ HATTI ARIZASI,KAMERA SİSTEMİ ARIZALARI,0.169,0.5713,0.972,621
KAMERA SİSTEMİ ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.169,0.2874,0.972,621
KAMERA SİSTEMİ ARIZALARI,LASTİK ARIZALARI,0.2348,0.3994,0.938,863
LASTİK ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.2348,0.5518,0.938,863
BASINÇLI YAĞ HATTI ARIZASI,AKBİL ARIZALARI,0.1997,0.6753,0.9,734
AKBİL ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.1997,0.2661,0.9,734
