ARAC_SID,toplam_denetim,olumsuz_denetim,olumlu_denetim,ilk_denetim_tar,son_denetim_tar,OLUMSUZ_ORAN
2358,1748,658,1090,2024-01-02,2025-12-31,0.376
2359,1310,308,1002,2024-01-02,2025-12-31,0.235
2360,1299,129,1170,2024-01-01,2025-12-26,0.099
2361,1594,257,1337,2024-01-01,2025-12-30,0.161
2362,1380,605,775,2024-01-02,2025-12-31,0.438
2363,1320,401,919,2024-01-03,2025-12-28,0.304
2364,1627,225,1402,2024-01-01,2025-12-30,0.138
2365,1439,247,1192,2024-01-02,2025-12-31,0.172
2366,448,266,182,2024-01-10,2025-12-31,0.594
2367,988,126,862,2024-01-02,2025-12-31,0.128
2368,1293,109,1184,2024-01-01,2025-12-30,0.084
2369,1521,518,1003,2024-01-01,2025-12-31,0.341
2371,423,187,236,2024-01-15,2025-12-28,0.442
2379,787,85,702,2024-02-04,2025-12-29,0.108
2380,855,94,761,2024-01-06,2025-12-31,0.11
2381,742,72,670,2024-01-21,2025-12-31,0.097
2382,655,45,610,2024-01-01,2025-05-14,0.069
2383,931,127,804,2024-01-01,2025-12-16,0.136
2384,762,212,550,2024-01-01,2025-12-31,0.278
2388,18,1,17,2024-06-05,2025-07-10,0.056
2390,4,0,4,2024-06-04,2024-08-17,0.0
2391,9,0,9,2024-08-02,2024-11-22,0.0
2392,20,1,19,2024-05-31,2025-08-19,0.05
2393,16,0,16,2024-05-29,2025-09-17,0.0
2395,1587,448,1139,2024-02-01,2025-12-31,0.282
2396,1680,329,1351,2024-01-01,2025-12-30,0.196
2397,2331,335,1996,2024-01-01,2025-12-31,0.144
2398,716,139,577,2024-08-13,2025-12-31,0.194
2399,1226,229,997,2024-01-01,2025-12-30,0.187
2400,452,104,348,2024-03-05,2025-12-29,0.23
2401,266,41,225,2024-03-03,2025-12-23,0.154
2402,307,57,250,2024-01-23,2025-10-25,0.186
2403,308,43,265,2024-02-13,2025-12-24,0.14
2404,417,69,348,2024-03-05,2025-12-31,0.165
2405,301,16,285,2024-02-02,2025-12-31,0.053
2406,352,31,321,2024-02-14,2025-12-25,0.088
2407,235,35,200,2024-02-13,2025-12-29,0.149
2408,409,41,368,2024-01-11,2025-12-29,0.1
2409,495,30,465,2024-01-13,2025-12-27,0.061
2410,330,61,269,2024-02-14,2025-12-31,0.185
2411,547,18,529,2024-01-22,2025-12-26,0.033
2412,356,27,329,2024-01-17,2025-12-27,0.076
